,state,year_idx,yhat,rmse
17,AK,17,332182.0205,7094.3088
18,AK,18,336226.0357,7094.3088
19,AK,19,338735.9636,7094.3088
20,AK,20,346521.8134,7094.3088
21,AK,21,352101.7162,7094.3088
17,AL,17,132033.7021,9266.782492
18,AL,18,134142.2733,9266.782492
19,AL,19,135947.7328,9266.782492
20,AL,20,136544.4668,9266.782492
21,AL,21,138955.705,9266.782492
17,AR,17,104723.5199,3792.302833
18,AR,18,105197.1634,3792.302833
19,AR,19,106006.1724,3792.302833
20,AR,20,107727.2935,3792.302833
21,AR,21,107865.9981,3792.302833
17,AZ,17,238664.5404,38738.10991
18,AZ,18,242137.7307,38738.10991
19,AZ,19,245117.6462,38738.10991
20,AZ,20,253058.7354,38738.10991
21,AZ,21,257026.589,38738.10991
17,CA,17,611486.2579,82212.22738
18,CA,18,628385.6439,82212.22738
19,CA,19,644868.562,82212.22738
20,CA,20,673267.8538,82212.22738
21,CA,21,690587.2292,82212.22738
17,CO,17,332025.9229,28202.04991
18,CO,18,339782.0562,28202.04991
19,CO,19,349143.2126,28202.04991
20,CO,20,358009.6416,28202.04991
21,CO,21,364161.0114,28202.04991
17,CT,17,308312.2319,45206.15374
18,CT,18,315268.8183,45206.15374
19,CT,19,321447.7724,45206.15374
20,CT,20,321057.0548,45206.15374
21,CT,21,328789.064,45206.15374
17,DC,17,723304.6656,53825.65489
18,DC,18,749142.5558,53825.65489
19,DC,19,773610.3575,53825.65489
20,DC,20,807670.3075,53825.65489
21,DC,21,834881.0256,53825.65489
17,DE,17,308473.1096,43664.94281
18,DE,18,316622.4503,43664.94281
19,DE,19,323983.8062,43664.94281
20,DE,20,326230.5185,43664.94281
21,DE,21,335166.0831,43664.94281
17,FL,17,257537.1303,47555.12403
18,FL,18,263282.0599,47555.12403
19,FL,19,268422.6251,47555.12403
20,FL,20,274021.296,47555.12403
21,FL,21,280370.5625,47555.12403
17,GA,17,162182.994,16307.84321
18,GA,18,164948.1715,16307.84321
19,GA,19,167763.4732,16307.84321
20,GA,20,167681.0602,16307.84321
21,GA,21,170395.2429,16307.84321
17,HI,17,694728.4795,65952.98671
18,HI,18,718319.6367,65952.98671
19,HI,19,740607.0154,65952.98671
20,HI,20,767809.7924,65952.98671
21,HI,21,792705.9018,65952.98671
17,IA,17,146390.8427,5194.760112
18,IA,18,148015.9509,5194.760112
19,IA,19,150339.7235,5194.760112
20,IA,20,152768.9954,5194.760112
21,IA,21,153695.6493,5194.760112
17,ID,17,198999.4784,20208.8864
18,ID,18,201454.905,20208.8864
19,ID,19,204459.5853,20208.8864
20,ID,20,211904.3022,20208.8864
21,ID,21,213812.006,20208.8864
17,IL,17,230658.9189,29324.79871
18,IL,18,234801.1842,29324.79871
19,IL,19,238580.452,29324.79871
20,IL,20,237530.0939,29324.79871
21,IL,21,242033.7845,29324.79871
17,IN,17,112270.8721,4731.574249
18,IN,18,112715.9911,4731.574249
19,IN,19,113747.1022,4731.574249
20,IN,20,114019.0252,4731.574249
21,IN,21,113877.9416,4731.574249
17,KS,17,138962.9511,1859.591509
18,KS,18,140728.2823,1859.591509
19,KS,19,143684.9246,1859.591509
20,KS,20,146306.4395,1859.591509
21,KS,21,146880.489,1859.591509
17,KY,17,133264.0944,5067.571322
18,KY,18,134450.6749,5067.571322
19,KY,19,136314.7592,5067.571322
20,KY,20,138274.7308,5067.571322
21,KY,21,138784.007,5067.571322
17,LA,17,173925.2071,6178.833773
18,LA,18,177355.2313,6178.833773
19,LA,19,180937.8001,6178.833773
20,LA,20,184508.3366,6178.833773
21,LA,21,187785.8398,6178.833773
17,MA,17,437699.0988,48182.42956
18,MA,18,449485.4043,48182.42956
19,MA,19,460883.2659,48182.42956
20,MA,20,467219.0161,48182.42956
21,MA,21,479392.1242,48182.42956
17,MD,17,348732.0933,51446.15414
18,MD,18,357789.1418,51446.15414
19,MD,19,365891.4829,51446.15414
20,MD,20,371305.8776,51446.15414
21,MD,21,381316.5595,51446.15414
17,ME,17,238620.045,25115.35797
18,ME,18,244728.0555,25115.35797
19,ME,19,250744.7372,25115.35797
20,ME,20,253815.4264,25115.35797
21,ME,21,260013.8666,25115.35797
17,MI,17,156732.4084,19094.42371
18,MI,18,157891.5001,19094.42371
19,MI,19,159133.4906,19094.42371
20,MI,20,158363.3245,19094.42371
21,MI,21,159438.9282,19094.42371
17,MN,17,243251.0383,29369.33954
18,MN,18,248252.9955,29369.33954
19,MN,19,253087.9671,29369.33954
20,MN,20,255991.4915,29369.33954
21,MN,21,261159.8145,29369.33954
17,MO,17,180601.9809,14818.19906
18,MO,18,183427.3052,14818.19906
19,MO,19,186169.9802,14818.19906
20,MO,20,187742.9608,14818.19906
21,MO,21,190650.5641,14818.19906
17,NC,17,179315.8714,12045.77728
18,NC,18,182469.4522,12045.77728
19,NC,19,185504.2931,12045.77728
20,NC,20,186902.7803,12045.77728
21,NC,21,190174.5633,12045.77728
17,NE,17,191746.1222,9727.155328
18,NE,18,194760.1352,9727.155328
19,NE,19,198125.7659,9727.155328
20,NE,20,203113.6914,9727.155328
21,NE,21,205776.596,9727.155328
17,NH,17,269524.5416,32360.4468
18,NH,18,276848.027,32360.4468
19,NH,19,283884.5896,32360.4468
20,NH,20,285936.1909,32360.4468
21,NH,21,293544.9995,32360.4468
17,NJ,17,404448.412,60709.94913
18,NJ,18,415291.4371,60709.94913
19,NJ,19,425011.7139,60709.94913
20,NJ,20,426780.8811,60709.94913
21,NJ,21,438743.9341,60709.94913
17,NV,17,300247.6012,70635.79092
18,NV,18,302812.4408,70635.79092
19,NV,19,305155.8499,70635.79092
20,NV,20,310501.4316,70635.79092
21,NV,21,313288.555,70635.79092
17,NY,17,310698.115,30967.58169
18,NY,18,320130.2563,30967.58169
19,NY,19,328925.2112,30967.58169
20,NY,20,333551.2571,30967.58169
21,NY,21,343619.1453,30967.58169
17,OH,17,129124.4986,9077.271214
18,OH,18,130424.8904,9077.271214
19,OH,19,131786.1238,9077.271214
20,OH,20,131548.6993,9077.271214
21,OH,21,132787.7786,9077.271214
17,OK,17,97874.59736,436.9628121
18,OK,18,100766.7306,436.9628121
19,OK,19,103686.5559,436.9628121
20,OK,20,106817.4345,436.9628121
21,OK,21,109685.3373,436.9628121
17,OR,17,283832.6851,29343.03096
18,OR,18,290475.6513,29343.03096
19,OR,19,297120.5522,29343.03096
20,OR,20,306390.3551,29343.03096
21,OR,21,313032.1834,29343.03096
17,PA,17,201133.0869,17303.95891
18,PA,18,205898.1472,17303.95891
19,PA,19,210156.7692,17303.95891
20,PA,20,213434.6814,17303.95891
21,PA,21,218705.7602,17303.95891
