GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1001,"Autauga, AL",954588,975940,986203,1129055,1125576,1210687,1234500,1112891,1144614,1207789,1317638,1482770,1411910,1406262,1518409,1526310,1422078,1483414
1003,"Baldwin, AL",3929753,4154915,4352352,4772559,5257742,5296563,5283689,4997036,4693291,4843331,4887545,5016735,5136425,5178584,5345363,5496105,5525882,5774289
1005,"Barbour, AL",813278,807276,830348,904195,901636,898820,862038,803027,784985,796244,756596,726909,781141,742751,756590,742810,745625,787425
1007,"Bibb, AL",292693,301897,316852,328216,324342,343522,359073,360056,350283,375053,380700,374435,377377,368995,358372,357831,353859,364197
1009,"Blount, AL",810381,834973,839885,838082,834887,845960,861808,849389,821054,811809,785676,804763,838093,820346,824934,783480,813934,849114
1011,"Bullock, AL",239593,253842,248007,241781,235078,253515,240648,239228,265137,245996,236588,253214,243523,221551,224849,246072,233531,244183
1013,"Butler, AL",449006,465524,479642,499435,486538,498785,524248,510210,473029,542151,565708,565044,565686,562054,570113,554471,554848,570686
1015,"Calhoun, AL",3437327,3549087,3655936,3948791,4188694,4325004,4496930,4584663,4328413,4545958,4336177,4260733,4047949,3881163,3810823,3862408,3861148,3950436
1017,"Chambers, AL",846573,877755,799017,882325,832537,812868,787818,690866,649045,666975,689508,752850,1277104,1516561,1793988,1953597,1938158,1941217
1019,"Cherokee, AL",391607,394224,412451,445673,428585,460684,478970,489636,452715,472392,493844,486349,522691,494782,484118,457675,461223,498013
1021,"Chilton, AL",624519,657354,681970,725831,740213,782015,775467,751124,725935,744292,795740,820985,848731,802649,799902,798726,806179,837887
1023,"Choctaw, AL",628888,581294,545631,636399,694281,752755,638447,615091,419850,436193,515885,568763,548240,549797,531136,526604,505034,547773
1025,"Clarke, AL",675411,680441,679748,738380,770864,832336,826962,789935,768117,730913,762231,800455,802397,794943,806072,793755,771341,784519
1027,"Clay, AL",320079,327622,303150,332864,363996,402534,337967,317090,296987,298803,280752,282082,304529,306189,320213,315873,323580,339246
1029,"Cleburne, AL",271460,274232,268479,278130,290048,280266,261695,279690,265204,271045,248463,270776,289075,296770,304126,295526,284999,294019
1031,"Coffee, AL",1011108,1028984,1028164,1108194,1144119,1135898,1189954,1212977,1242523,1251788,1193557,1198684,1223521,1256392,1349456,1375548,1410365,1470262
1033,"Colbert, AL",1902907,1942477,2089272,2208370,2277966,2329407,2291151,2329441,2089271,2292899,2414030,2423750,2668009,2770932,2814138,2778239,2708633,2755838
1035,"Conecuh, AL",298834,299049,301423,326314,371863,440868,465197,476403,468286,409650,461972,513044,520962,457751,466177,464317,456696,449646
1037,"Coosa, AL",159400,162349,157598,164292,175179,196394,177672,166342,168701,163218,166606,157905,166717,162822,164838,168598,167226,177103
1039,"Covington, AL",962372,1037976,993825,1073132,1054225,1081393,1068148,1049192,1042842,1093847,1048277,1105577,1133905,1118312,1126948,1120631,1134066,1146899
1041,"Crenshaw, AL",266552,260764,280204,311388,371561,403818,353163,352358,331355,388562,375388,414188,440339,412119,427983,403588,403510,408219
1043,"Cullman, AL",2010215,2011372,2098040,2292454,2391403,2409070,2280234,2250336,2169865,2235248,2222302,2298846,2401178,2408628,2479048,2473561,2491025,2548547
1045,"Dale, AL",1943789,2006107,2057830,2216187,2452003,2588582,2608458,2715437,2759847,2879080,2755767,2689377,2625737,2453315,2405727,2423899,2459148,2505314
1047,"Dallas, AL",1282037,1246823,1222533,1297393,1352021,1418712,1347712,1285280,1228416,1221960,1233853,1254605,1237017,1204486,1186330,1196803,1156152,1174931
1049,"DeKalb, AL",1659631,1683748,1723978,1847287,1812673,1917641,1854515,1799929,1699022,1722091,1554542,1589171,1728587,1711271,1728455,1621227,1688189,1768414
1051,"Elmore, AL",1056049,1138200,1220794,1321338,1372071,1418529,1468534,1494879,1517128,1565121,1553677,1559648,1603257,1575546,1614849,1639742,1653310,1694188
1053,"Escambia, AL",1176283,1182087,1158047,1259000,1339497,1377942,1412508,1344961,1322071,1280591,1251755,1250140,1225961,1175195,1152718,1162771,1163160,1172006
1055,"Etowah, AL",2604259,2664316,2687323,2827403,2830042,2831517,2814999,2821187,2716066,2793082,2823761,2801621,2759996,2725594,2741934,2742949,2746645,2803470
1057,"Fayette, AL",391772,374613,382704,403407,411137,418287,401872,494355,472901,524262,478869,456379,417531,336051,334480,325660,327225,331837
1059,"Franklin, AL",786450,776579,801967,883440,907251,882791,896408,889247,848381,873739,938550,846161,862899,815764,829741,802754,849068,886031
1061,"Geneva, AL",471997,485101,486116,480300,506055,518786,531629,535837,520216,518089,472506,474268,485312,478547,505054,513876,496140,519624
1063,"Greene, AL",305880,343369,352319,389734,396285,397056,379181,331408,317147,313275,338551,292866,302355,281552,255456,245437,225323,235854
1065,"Hale, AL",275076,293387,325651,336324,347332,384408,333301,323876,312452,319238,308140,300089,294950,266928,280598,291003,285818,280041
1067,"Henry, AL",329023,361163,338004,348449,370037,379768,356324,346354,317698,311454,331215,316972,327702,308473,312287,308340,320602,327713
1069,"Houston, AL",3768541,3980332,4043538,4180795,4230109,4347500,4354111,4207283,4045453,4088604,4115993,4209805,4274116,4212494,4190752,4221379,4238912,4349489
1071,"Jackson, AL",1544492,1604793,1587541,1763542,1801379,1838071,1798510,1718411,1520070,1563322,1505556,1556659,1546440,1527758,1420121,1317412,1300797,1319359
1073,"Jefferson, AL",37689260,38884307,39167965,40857284,41130878,40072971,39871197,40253237,37992044,38150914,38912595,39515681,39223992,39020527,39503092,39475772,40567288,41774355
1075,"Lamar, AL",359620,346348,321705,341350,351911,355109,345991,326066,296227,296981,313626,319162,314774,296869,291779,288955,289482,296054
1077,"Lauderdale, AL",2196451,2197595,2227203,2344638,2399386,2482115,2446101,2406893,2439855,2423147,2478735,2490796,2570496,2479646,2445200,2402567,2395624,2467086
1079,"Lawrence, AL",672420,673036,801112,997433,703686,682125,816803,814802,894627,850005,813266,797752,798611,692003,556342,518065,517319,563208
1081,"Lee, AL",3006107,3169082,3320210,3676560,3794406,3920973,4072523,4065938,3996634,4075679,4398530,4578973,4925538,5020315,5457975,5702179,5897678,6013577
1083,"Limestone, AL",2234841,2393265,2525801,2642402,2706189,2894791,2808975,2773368,2586139,2708591,2827295,2970593,2998829,3054617,3149394,3223504,3286233,3288507
1085,"Lowndes, AL",393110,338163,400235,446058,429070,479738,492993,435667,437164,494806,516263,444095,450585,435293,414680,410956,415054,413334
1087,"Macon, AL",452226,433552,434767,466299,467886,488607,486614,497313,491510,477590,496545,485252,500703,453815,437082,437693,427667,437305
1089,"Madison, AL",12886125,13422031,14116775,15352723,16208756,16822017,17480531,18200925,18453265,19360171,19640507,19512201,19550363,19569526,19888881,20314558,20825274,21707550
1091,"Marengo, AL",621350,630573,622335,665703,708775,749654,715715,671668,682547,680196,663347,670787,671303,682733,673931,678430,650660,657507
1093,"Marion, AL",735316,756558,745704,835038,894395,927480,888739,828921,802548,797256,777090,797023,798120,762205,779032,759279,773143,804250
1095,"Marshall, AL",2502923,2532970,2587492,2777480,2812420,2832969,2894447,2822160,2638577,2678560,2690281,2763122,2893630,2804226,2830730,2864795,2943251,3061736
1097,"Mobile, AL",14621987,14797953,14975373,15459354,16096293,16952589,16998538,17368521,17249893,17517906,17972915,17901892,17845591,17664949,17548197,17901624,17642633,17882906
1099,"Monroe, AL",801351,783874,789193,878920,914560,971400,897132,854334,811890,783775,740690,665614,617179,590640,611360,610770,610310,618262
1101,"Montgomery, AL",11114440,11376969,11581279,11947716,12434113,12661776,12432621,12502410,11909735,12172550,12280212,12235434,12195011,12063870,12294898,12473078,12457671,12633330
1103,"Morgan, AL",4150602,4129346,4343071,4740303,4670903,4874633,4884995,4721341,4499049,4546507,4471829,4515001,4509257,4606569,4665658,4808714,4827146,4980085
1105,"Perry, AL",190109,188140,198267,198070,215944,230044,216804,231433,223584,242456,222817,229993,236675,208989,203560,198292,191859,183432
1107,"Pickens, AL",353869,353324,348982,368936,393022,368067,373863,352948,381096,373524,331090,343674,409722,405981,407990,399004,389315,390766
1109,"Pike, AL",820505,869987,912024,991693,1041517,1096756,1144877,1186072,1177545,1249027,1169946,1176489,1172034,1247401,1305018,1327688,1315469,1309102
1111,"Randolph, AL",394966,426737,424950,475130,475426,474925,467921,441018,421580,427455,381076,391438,434152,431378,438364,415983,418763,427804
1113,"Russell, AL",1131578,1092116,1054566,1135481,1149295,1218039,1199231,1198480,1231200,1276856,1264031,1265157,1286216,1360235,1417799,1437492,1427776,1472862
1115,"St. Clair, AL",1231422,1288618,1312994,1386416,1427231,1469447,1518692,1506989,1394672,1461502,1521625,1624555,1684900,1677557,1666235,1694102,1718514,1764952
1117,"Shelby, AL",5296416,5638862,6012694,6401517,7292359,7628604,8342430,8193684,7669652,7797678,7992672,8268481,8488592,8828571,9434367,9427502,9929586,10317323
1119,"Sumter, AL",315285,316994,318729,323496,340589,341675,343626,309488,331113,342724,341650,351774,352036,349841,353400,359431,335668,326706
1121,"Talladega, AL",1922405,2055365,2430843,2864610,3080886,3062334,2865973,2754134,2270441,2521324,2654063,2767076,2882631,2845808,2820169,2795690,2745857,2840194
1123,"Tallapoosa, AL",923328,870947,934022,1048494,1149114,1048208,1016019,1004008,929013,1052374,1108718,1146236,1108429,1156405,1189686,1222578,1146322,1186139
1125,"Tuscaloosa, AL",7328233,7698549,8015875,8530892,9003684,9115223,9647691,9308394,8534262,8842537,9805516,9382954,9396419,8908643,8593630,8509273,8775197,9042556
1127,"Walker, AL",1685890,1752691,1854872,1914739,1965379,1959764,1937258,1941768,1890176,1936751,1864091,1795958,1827116,1805542,1942586,1871326,1942619,2058416
1129,"Washington, AL",782072,717759,756529,810196,739869,831119,892914,805643,829878,887961,820195,742552,768126,824443,727863,778980,775076,799290
1131,"Wilcox, AL",372249,368977,343755,404917,419130,449395,418295,389575,428471,400263,369260,353909,371412,366044,372273,379381,373667,378418
1133,"Winston, AL",633158,634437,605230,653705,692037,714442,679190,628080,570603,618285,621899,618744,637526,613138,629762,623036,650751,667455
2013,"Aleutians East Borough, AK*",189604,142263,164478,206328,200454,204559,225784,234641,243896,163829,131394,124827,141926,137577,181353,194592,201690,201612
2016,"Aleutians West Census Area, AK*",323520,320705,365604,392096,484880,437653,416502,371475,359587,320363,344181,367118,386601,379178,371005,367795,347146,353175
2020,"Anchorage Municipality, AK",16361468,16503578,16777032,16994983,17587417,17669892,18048410,18932459,19513306,20359679,20649716,20750943,20209436,20090732,20856627,20413792,19985366,20329942
2050,"Bethel Census Area, AK*",506600,558900,582679,580845,578589,522055,518367,508945,539597,570648,616282,632455,630798,615715,611875,606090,608355,625190
2060,"Bristol Bay Borough, AK",84036,83486,96566,103614,119712,134581,147898,130677,137434,125599,116902,112665,121438,120360,113052,116004,114238,130341
2068,"Denali Borough, AK*",174435,175511,169601,183344,187420,190690,191819,218740,207183,200436,188256,189064,243914,250732,243176,233441,234794,237263
